SANATÇI 1;SANATÇI 2;ŞARKI ADI;TÜR1;TÜR2
SANISER;ADOS;BENI YANLIZLIGA VERME;RAP;RAP
SANISER;ADOS;KENDIM ICIN;RAP;RAP
SANISER;SANSAR SALVO;YARIN OLUMU BEKLEMEK YERINE;RAP;RAP
SANISER;SOKRAT ST;PROLETERYA;RAP;RAP
SANISER;SOKRAT ST;ANLAMI YOK;RAP;RAP
SANISER;SOKRAT ST;YALAN;RAP;RAP
SANISER;EMIR CAN IGREK;GORUNCE DUNYAMIN YIKILDIGINI;RAP;POP
SANISER;SOKRAT ST;GUYA;RAP;RAP
SANISER;SOKRAT ST;TEK HAYALIM;RAP;RAP
SANISER;SOKRAT ST;GECE COKUYOR;RAP;RAP
ROTA;MASSAKA;KATLIAM 3;RAP;RAP
ROTA;SANSAR SALVO;KATLIAM 3 ;RAP;RAP
ROTA;DR.FUCHS;KATLIAM 3;RAP;RAP
ROTA;CANBAY & WOLKER;KATLIAM 3;RAP;RAP
ROTA;HAYKI;KATLIAM 3;RAP;RAP
ROTA;YENER CEVIK;KATLIAM 3;RAP;RAP
ROTA;TEKMILL;KATLIAM 3 ;RAP;RAP
ROTA;SIRDAV;KATLIAM 3;RAP;RAP
ROTA;BURAK KING;KALBIM;RAP;RAP
ROTA;DEFKHAN;RUH;RAP;RAP
ROTA;BURAK KING;ZIRVE 2;RAP;RAP
ROTA;HAYKI;ZIRVE 2;RAP;RAP
ROTA;YENER CEVIK;ZIRVE 2;RAP;RAP
ROTA;CANBAY & WOLKER;ZIRVE ;RAP;RAP
ROTA;DEFKHAN;ZIRVE;RAP;RAP
ROTA;ASPOVA;7.GUN;RAP;RAP
ROTA;YENER CEVIK;TEK KISI;RAP;RAP
ROTA;BURAK KING;SOLUKSUZ;RAP;RAP
HAYKI;MASSAKA;KATLIAM 3;RAP;RAP
HAYKI;SANSAR SALVO;KATLIAM 3;RAP;RAP
HAYKI;DR.FUCHS;KATLIAM 3;RAP;RAP
HAYKI;YENER CEVIK;KATLIAM 3;RAP;RAP
HAYKI;TEKMILL;KATLIAM 3;RAP;RAP
HAYKI;SIRDAV;KATLIAM 3;RAP;RAP
HAYKI;YENER CEVIK;TABLO;RAP;RAP
HAYKI;ALLAME;MANIFESTO;RAP;RAP
HAYKI;ADOS;SUSAMAM;RAP;RAP
HAYKI;TAHRIBAD-I ISYAN;SUSAMAM;RAP;RAP
HAYKI;SOKRAT ST;SUSAMAM;RAP;RAP
HAYKI;OZBI;SUSAMAM;RAP;RAP
HAYKI;DENIZ TEKIN;SUSAMAM;RAP;POP
HAYKI;ASPOVA;SUSAMAM;RAP;RAP
HAYKI;KAMUFLE;SUSAMAM;RAP;RAP
HAYKI;BURAK KING;ZIRVE 2;RAP;RAP
HAYKI;YENER CEVIK;ZIRVE 2;RAP;RAP
HAYKI;KAMUFLE;ADRENALIN;RAP;RAP
HAYKI;ALLAME;KARA PARA;RAP;RAP
HAYKI;SEHINSAH;POLITIK APOLITIK;RAP;RAP
HAYKI;SEHINSAH;EKMEK YOGURT;RAP;RAP
YENER CEVIK;MASSAKA;KATLIAM 3;RAP;RAP
YENER CEVIK;SANSAR SALVO;KATLIAM 3 ;RAP;RAP
YENER CEVIK;DR.FUCHS;KATLIAM 3;RAP;RAP
YENER CEVIK;TEKMILL;KATLIAM 3;RAP;RAP
YENER CEVIK;SIRDAV;KATLIAM 3;RAP;RAP
YENER CEVIK;CASH FLOW;KUFUR BASS;RAP;RAP
YENER CEVIK;MASSAKA;KATLIAM 2;RAP;RAP
YENER CEVIK;SANSAR SALVO;KATLIAM 2;RAP;RAP
YENER CEVIK;CONTRA;KATLIAM 2;RAP;RAP
YENER CEVIK;YILDIZ TILBE;OYLE KAL;RAP;POP
YENER CEVIK;SANSAR SALVO;KADRO;RAP;RAP
YENER CEVIK;BURAK KING;ZIRVE 2;RAP;RAP
YENER CEVIK;ALLAME;YAK GEMILERINI;RAP;RAP
YENER CEVIK;CASH FLOW;SANANE;RAP;RAP
TEKMILL;MASSAKA;KATLIAM 3;RAP;RAP
TEKMILL;SANSAR SALVO;KATLIAM 3;RAP;RAP
TEKMILL;DR.FUCHS;KATLIAM 3;RAP;RAP
TEKMILL;MASSAKA;KALASH;RAP;RAP
TEKMILL;MASSAKA;GOTHAM CITY;RAP;RAP
SIRDAV;SANSAR SALVO;GERILIM HATTI;RAP;RAP
SIRDAV;SEHINSAH;PIRLANTA;RAP;RAP
SIRDAV;DR.FUCHS;DURMAM;RAP;RAP
SIRDAV;YENER CEVIK;VAR;RAP;RAP
CONTRA;MASSAKA;KATLIAM 2;RAP;RAP
CONTRA;SANSAR SALVO;KATLIAM 2;RAP;RAP
CONTRA;MASSAKA;FIGHT KULUP 2;RAP;RAP
CONTRA;SOKRAT ST;ZOR BIR GUN;RAP;RAP
CONTRA;KAMUFLE;RUH;RAP;RAP
CONTRA;KAMUFLE;HALIMIZ DUMAN;RAP;RAP
DR.FUCHS;MASSAKA;SOGUK MEVSIM;RAP;RAP
DR.FUCHS;MASSAKA;KATLIAM 3;RAP;RAP
DR.FUCHS;SANSAR SALVO;KATLIAM 3;RAP;RAP
DR.FUCHS;SANSAR SALVO;OLDU SANMA;RAP;RAP
DR.FUCHS;SANSAR SALVO;BIR GUN BIR YOLDA;RAP;RAP
MASSAKA;SANSAR SALVO;KATLIAM 3;RAP;RAP
MASSAKA;SANSAR SALVO;KATLIAM 2;RAP;RAP
MASSAKA;SANSAR SALVO;ESKIYA;RAP;RAP
MASSAKA;CASH FLOW;HADI GEL;RAP;RAP
MASSAKA;SANSAR SALVO;HIGHTECH;RAP;RAP
SANSAR SALVO;SEHINSAH;DUYGUSAL OLMAYA GEREK YOK;RAP;RAP
SANSAR SALVO;SEHINSAH;REC PLAY PAUSE;RAP;RAP
ALEYNA KALAYCIOGLU;BURAK KING;ISTANBUL;POP;RAP
BEN FERO;CASH FLOW;UCE BESE BAKAMAM;RAP;RAP
BEN FERO;CASH FLOW;KRIMINAL RAPLAR;RAP;RAP
CASH FLOW;SEHINSAH;ADAM OLMAZ;RAP;RAP
CASH FLOW;SANSAR SALVO;BUKKARI;RAP;RAP
CASH FLOW;SEHINSAH;MAYMUNLAR CEHENNEMI;RAP;RAP
CASH FLOW;HEJA;DONSUN DUNYA DONSUN ALEM;RAP;RAP
SEHINSAH;ALLAME;KUMBARA;RAP;RAP
SEHINSAH;ASPOVA;KUMBARA;RAP;RAP
IRMAK ARICI;DERYA ULUG;BIZIM COCUKLAR;POP;POP
BILAL HANCI;PINAR SUER;#ZELZELE;POP;POP
BILAL HANCI;CAN YUCE;#ZELZELE;POP;POP
BILAL HANCI;AYSEL YAKUPOGLU;#ZELZELE;POP;POP
BILAL HANCI;NAHIDE BABASHLI;#ZELZELE;POP;POP
BILAL HANCI;TUGCE KANDEMIR;#ZELZELE;POP;POP
BENGU;SERDAR ORTAC;KORKMA KALBIM;POP;POP
BURAK KING;SANSAR SALVO;CAKALA KURDA;RAP;RAP
BURAK KING;SOKRAT ST;DUNYA;RAP;RAP
TUGCE KANDEMIR;CAN YUCE;#ZELZELE;POP;POP
TUGCE KANDEMIR;AYSEL YAKUPOGLU;#ZELZELE;POP;POP
TUGCE KANDEMIR;NAHIDE BABASHLI;#ZELZELE;POP;POP
TUGCE KANDEMIR;PINAR SUER;#ZELZELE;POP;POP
HEJA;NO.1;DUNYA GUL BANA;RAP;RAP
HEJA;NO.1;SEYTAN VE MELEKLER;RAP;RAP
HEJA;NO.1;GRIYE ISYAN;RAP;RAP
HEJA;NO.1;SAFAK OPERASYONU;RAP;RAP
HEJA;NO.1;RAP RAP RAP;RAP;RAP
HEJA;SANSAR SALVO;KORKMA;RAP;RAP
HEJA;NO.1;MARS;RAP;RAP
HEJA;KAMUFLE;BI KEZ OLSUN SES VER;RAP;RAP
HEJA;DR.FUCHS;AL CAL KUR VUR;RAP;RAP
CAGRI SINCI;NO.1;UCURUMLAR;RAP;RAP
CAGRI SINCI;SANSAR SALVO;BAZEN;RAP;RAP
CAGRI SINCI;INDIGO;IKINCI SANS;RAP;RAP
CAGRI SINCI;ADOS;MERNUS;RAP;RAP
CAGRI SINCI;KAMUFLE;FESUPHANALLAH;RAP;RAP
CAGRI SINCI;NO.1;KASET;RAP;RAP
CAGRI SINCI;INDIGO;YAPCAGNIZ ISE;RAP;RAP
ADOS;TAHRIBAD-I ISYAN;SUSAMAM;RAP;RAP
ADOS;SOKRAT ST;SUSAMAM;RAP;RAP
ADOS;OZBI;SUSAMAM;RAP;RAP
ADOS;DENIZ TEKIN;SUSAMAM;RAP;POP
ADOS;ASPOVA;SUSAMAM;RAP;RAP
ADOS;KAMUFLE;SUSAMAM;RAP;RAP
ADOS;ALLAME;SEHIR;RAP;RAP
ADOS;SOKRAT ST;BITTI;RAP;RAP
ADOS;SOKRAT ST;ON IKILIK VERSE;RAP;RAP
ADOS;KAMUFLE;ON IKILIK VERSE;RAP;RAP
ADOS;KEZZO;NEREYE GITSEM;RAP;RAP
ADOS;SOKRAT ST;HERKES KONUSUR;RAP;RAP
ADOS;SOKRAT ST;BOSS LIG 3;RAP;RAP
ADOS;CAGRI SINCI;YANLIS ZAMAN YANLIS YER;RAP;RAP
ADOS;KEZZO;IKILE;RAP;RAP
ALLAME;ASPOVA;KUMBARA;RAP;RAP
ALLAME;OZBI;SEHRIN ISIKLARI;RAP;RAP
CAN YUCE;PINAR SUER;#ZELZELE;POP;POP
CAN YUCE;NAHIDE BABASHLI;#ZELZELE;POP;POP
CAN YUCE;AYSEL YAKUPOGLU;#ZELZELE;POP;POP
PINAR SUER;TUGCE KANDEMIR;KARDAN CICEKLER;POP;POP
PINAR SUER;SANISER;GECEMIYORUM SERDEN;POP;RAP
NAHIDE BABASHLI;AYSEL YAKUPOGLU;#ZELZELE;POP;POP
NAHIDE BABASHLI;PINAR SUER;#ZELZELE;POP;POP
ECE MUMAY;ILYAS YALCINTAS;SAHIT;POP;POP
HANDE YENER;SERDAR ORTAC;IKI DELI;POP;POP
ECE MUMAY;UMUT TIMUR;CATALEYA;POP;POP
DENIZ TEKIN;SOKRAT ST;SUSAMAM;POP;RAP
DENIZ TEKIN;TAHRIBAD-I ISYAN;SUSAMAM;POP;RAP
DENIZ TEKIN;OZBI;SUSAMAM;POP;RAP
DENIZ TEKIN;ASPOVA;SUSAMAM;POP;RAP
DENIZ TEKIN;KAMUFLE;SUSAMAM;POP;RAP
DENIZ TEKIN;SOKRAT ST;OZUR DILERIM;POP;RAP
DENIZ TEKIN;KAMUFLE;FUGITHORA;POP;RAP
KEZZO;ASPOVA;DIKIS TUTMAZ;RAP;RAP
KEZZO;ALLAME;PATLAK LASTIKLER;RAP;RAP
KEZZO;ALLAME;SORU;RAP;RAP
KEZZO;ALLAME;FIRTINA;RAP;RAP
KEZZO;SANISER;SABAH OLMUYORSA;RAP;RAP
KEZZO;ASPOVA;ITIRAF;RAP;RAP
KEZZO;ALLAME;ADIL DUNYA;RAP;RAP
INDIGO;CAGRI SINCI;FLU;RAP;RAP
INDIGO;CAGRI SINCI;PAZARTESI SENDROMU;RAP;RAP
INDIGO;CAGRI SINCI;MK ULTRA;RAP;RAP
INDIGO;CAGRI SINCI;RAPCI OLMA;RAP;RAP
TAHRIBAD-I ISYAN;SOKRAT ST;SUSAMAM;RAP;RAP
TAHRIBAD-I ISYAN;OZBI;SUSAMAM;RAP;RAP
TAHRIBAD-I ISYAN;ASPOVA;SUSAMAM;RAP;RAP
TAHRIBAD-I ISYAN;KAMUFLE;SUSAMAM;RAP;RAP
TAHRIBAD-I ISYAN;ALLAME;SAHA KALK;RAP;RAP
TAHRIBAD-I ISYAN;EYPIO;DUZENEK;RAP;RAP
SOKRAT ST;OZBI;SUSAMAM;RAP;RAP
SOKRAT ST;ASPOVA;SUSAMAM;RAP;RAP
SOKRAT ST;KAMUFLE;SUSAMAM;RAP;RAP
SOKRAT ST;OZBI;TESLIM OLMA;RAP;RAP
SOKRAT ST;KAMUFLE;ON IKILIK VERSE;RAP;RAP
OZBI;ASPOVA;SUSAMAM;RAP;RAP
OZBI;KAMUFLE;SUSAMAM;RAP;RAP
ASPOVA;KAMUFLE;SUSAMAM;RAP;RAP
ALLAME;ASPOVA;FIL INADI;RAP;RAP
ASPOVA;SANISER;KARISTIRDIN;RAP;RAP
ASPOVA;ALLAME;TUZAK;RAP;RAP
KAMUFLE;SANSAR SALVO;ALL STARS;RAP;RAP
KAMUFLE;ALLAME;ALL STARS;RAP;RAP
ALLAME;SANSAR SALVO;ALL STARS;RAP;RAP
KAMUFLE;SANSAR SALVO;LIMIT YOK;RAP;RAP
KAMUFLE;ALLAME;LIMIT YOK;RAP;RAP
KAMUFLE;ANIL PIYANCI;LIMIT YOK;RAP;RAP
ALLAME;ANIL PIYANCI;LIMIT YOK;RAP;RAP
KAMUFLE;ASPOVA;DARDA KAL;RAP;RAP
